male?,age,p
TRUE,27,0.303561858487422
TRUE,28,0.303561858487422
TRUE,29,0.303561858487422
TRUE,30,0.303561858487422
TRUE,31,0.303561858487422
TRUE,32,0.303561858487422
TRUE,33,0.303561858487422
TRUE,34,0.303561858487422
FALSE,35,0.0642953324827881
FALSE,36,0.0642953324827881
FALSE,37,0.0642953324827881
FALSE,38,0.0642953324827881
FALSE,39,0.0642953324827881
FALSE,40,0.0642953324827881
FALSE,41,0.0642953324827881
FALSE,42,0.0642953324827881
FALSE,43,0.0642953324827881
FALSE,44,0.0642953324827881
TRUE,35,0.275109864781256
TRUE,36,0.275109864781256
TRUE,37,0.275109864781256
TRUE,38,0.275109864781256
TRUE,39,0.275109864781256
TRUE,40,0.275109864781256
TRUE,41,0.275109864781256
TRUE,42,0.275109864781256
TRUE,43,0.275109864781256
TRUE,44,0.275109864781256
FALSE,45,0.0488535842667994
FALSE,46,0.0488535842667994
FALSE,47,0.0488535842667994
FALSE,48,0.0488535842667994
FALSE,49,0.0488535842667994
FALSE,50,0.0488535842667994
FALSE,51,0.0488535842667994
FALSE,52,0.0488535842667994
FALSE,53,0.0488535842667994
FALSE,54,0.0488535842667994
TRUE,45,0.19961940993774
TRUE,46,0.19961940993774
TRUE,47,0.19961940993774
TRUE,48,0.19961940993774
TRUE,49,0.19961940993774
TRUE,50,0.19961940993774
TRUE,51,0.19961940993774
TRUE,52,0.19961940993774
TRUE,53,0.19961940993774
TRUE,54,0.19961940993774
FALSE,55,0.0308128546507127
FALSE,56,0.0308128546507127
FALSE,57,0.0308128546507127
FALSE,58,0.0308128546507127
FALSE,59,0.0308128546507127
FALSE,60,0.0308128546507127
FALSE,61,0.0308128546507127
FALSE,62,0.0308128546507127
FALSE,63,0.0308128546507127
FALSE,64,0.0308128546507127
TRUE,55,0.126843825050472
TRUE,56,0.126843825050472
TRUE,57,0.126843825050472
TRUE,58,0.126843825050472
TRUE,59,0.126843825050472
TRUE,60,0.126843825050472
TRUE,61,0.126843825050472
