age,male?,p
22,false,8.327000000000195e-4
23,false,8.327000000000195e-4
24,false,8.327000000000195e-4
25,false,0.0011113000000000373
26,false,0.0011113000000000373
27,false,0.0011113000000000373
28,false,0.0011113000000000373
29,false,0.0011113000000000373
30,false,0.0015119999999999578
31,false,0.0015119999999999578
32,false,0.0015119999999999578
33,false,0.0015119999999999578
34,false,0.0015119999999999578
35,false,0.003169399999999989
36,false,0.003169399999999989
37,false,0.003169399999999989
38,false,0.003169399999999989
39,false,0.003169399999999989
40,false,0.0052257
41,false,0.0052257
42,false,0.0052257
43,false,0.0052257
44,false,0.0052257
45,false,0.008528699999999945
46,false,0.008528699999999945
47,false,0.008528699999999945
48,false,0.008528699999999945
49,false,0.008528699999999945
50,false,0.014838899999999988
51,false,0.014838899999999988
52,false,0.014838899999999988
53,false,0.014838899999999988
54,false,0.014838899999999988
55,false,0.0206866
56,false,0.0206866
57,false,0.0206866
58,false,0.0206866
59,false,0.0206866
60,false,0.03221090000000004
61,false,0.03221090000000004
62,false,0.03221090000000004
63,false,0.03221090000000004
64,false,0.03221090000000004
65,false,0.05390550000000005
66,false,0.05390550000000005
67,false,0.05390550000000005
68,false,0.05390550000000005
69,false,0.05390550000000005
70,false,0.0944992
71,false,0.0944992
72,false,0.0944992
73,false,0.0944992
74,false,0.0944992
75,false,0.1745236
76,false,0.1745236
77,false,0.1745236
78,false,0.1745236
79,false,0.1745236
80,false,0.3001011
81,false,0.3001011
82,false,0.3001011
83,false,0.3001011
84,false,0.3001011
85,false,0.48511930000000003
86,false,0.48511930000000003
87,false,0.48511930000000003
88,false,0.48511930000000003
89,false,0.48511930000000003
90,false,0.6792194
91,false,0.6792194
92,false,0.6792194
93,false,0.6792194
94,false,0.6792194
95,false,0.8361881
96,false,0.8361881
97,false,0.8361881
98,false,0.8361881
99,false,0.8361881
100,false,0.9450432
101,false,0.9450432
102,false,0.9450432
103,false,0.9450432
104,false,0.9450432
105,false,0.9883814
106,false,0.9883814
107,false,0.9883814
108,false,0.9883814
109,false,0.9883814
110,false,0.9985339
111,false,0.9985339
112,false,0.9985339
113,false,0.9985339
114,false,0.9985339
115,false,0.9998861
116,false,0.9998861
117,false,0.9998861
118,false,0.9998861
119,false,0.9998861
