size,age,p
4,20,0.028215136279439005
4,21,0.02593278645144218
4,22,0.024311987298227044
4,23,0.02166578459910029
4,24,0.018688806562582694
4,25,0.016770309605715798
4,26,0.01462026991267531
4,27,0.01296639322572109
4,28,0.012503307753373908
4,29,0.01326409102937285
4,30,0.014884890182587986
4,31,0.016604921937020376
4,32,0.019449589838581634
4,33,0.022558878010055572
4,34,0.023187351151098174
4,35,0.02669356972744112
4,36,0.03043133103995766
4,37,0.030662873776131253
4,38,0.030530563641174915
4,39,0.03397062715003969
4,40,0.031159036782217518
4,41,0.031886742524477374
4,42,0.031225191849695688
4,43,0.02943900502778513
4,44,0.030133633236305902
4,45,0.030133633236305902
4,46,0.029769780365175972
4,47,0.032052130193172795
4,48,0.02930669489282879
4,49,0.026032019052659432
4,50,0.024841227838052395
4,51,0.025602011114051335
4,52,0.023352738819793595
4,53,0.02060730351944959
4,54,0.01812648848901826
4,55,0.015314898121196083
4,56,0.012767928023286584
4,57,0.010353268060333421
4,58,0.008864779042074623
4,59,0.006020111140513363
4,60,0.005590103201905266
4,61,0.004663932257210903
4,62,0.0031754432389521038
4,63,0.002613125165387669
4,64,0.0023815824292140776
4,65,0.0017861868219105584
4,66,0.001521566551997883
4,67,9.261709446943636e-4
4,68,0.0013231013495633766
4,69,0.0010915586133897856
4,70,9.923260121725325e-4
4,71,0.0010254035459116167
4,72,6.615506747816883e-4
4,73,7.277057422598571e-4
4,74,3.6385287112992857e-4
4,75,5.953956073035194e-4
4,76,4.300079386080974e-4
4,77,5.292405398253506e-4
4,78,4.300079386080974e-4
4,79,4.961630060862662e-4
4,80,2.976978036517597e-4
4,81,6.284731410426039e-4
4,82,2.646202699126753e-4
4,83,9.923260121725324e-5
4,84,2.976978036517597e-4
4,85,1.6538766869542208e-4
4,86,3.3077533739084416e-4
4,87,2.646202699126753e-4
4,88,1.3231013495633765e-4
4,89,9.923260121725324e-5
4,90,1.6538766869542208e-4
4,91,1.9846520243450649e-4
4,92,9.923260121725324e-5
4,93,9.923260121725324e-5
4,94,0
4,95,6.615506747816882e-5
4,96,3.307753373908441e-5
4,97,0
4,98,3.307753373908441e-5
4,99,0
4,100,0
4,101,0
4,102,0
5,18,0.035228461806766656
5,19,0.042029996512033485
5,20,0.04046041158004883
5,21,0.04246599232647367
5,22,0.04028601325427276
5,23,0.03165329612835717
5,24,0.027206138821067316
5,25,0.023979769794209977
5,26,0.017875828392047436
5,27,0.017963027554935472
5,28,0.012295081967213115
5,29,0.015085455179630275
5,30,0.01499825601674224
5,31,0.013864666899197768
5,32,0.014736658528078131
5,33,0.017875828392047436
5,34,0.02014300662713638
5,35,0.020579002441576563
5,36,0.0266829438437391
5,37,0.025810952214858737
5,38,0.02877572375305197
5,39,0.028514126264387863
5,40,0.03113010115102895
5,41,0.027206138821067316
5,42,0.029647715381932335
5,43,0.0286013254272759
5,44,0.02877572375305197
5,45,0.026595744680851064
5,46,0.02825252877572375
5,47,0.03069410533658877
5,48,0.0266829438437391
5,49,0.02336937565399372
5,50,0.019096616672479944
5,51,0.02031740495291245
5,52,0.016567840948726893
5,53,0.014823857690966167
5,54,0.013777467736309732
5,55,0.009068712940355772
5,56,0.0088943146145797
5,57,0.006975933031042902
5,58,0.006801534705266829
5,59,0.005144750610394141
5,60,0.0034007673526334145
5,61,0.00374956400418556
5,62,0.003139169863969306
5,63,0.0023543773979769794
5,64,0.0020927799093128706
5,65,0.0013079874433205442
5,66,0.0017439832577607255
5,67,0.001220788280432508
5,68,0.002005580746424834
5,69,0.0014823857690966166
5,70,0.0014823857690966166
5,71,0.001220788280432508
5,72,0.0010463899546564353
5,73,8.719916288803627e-4
5,74,9.591907917683991e-4
5,75,0.0010463899546564353
5,76,0.0011335891175444715
5,77,9.591907917683991e-4
5,78,6.975933031042902e-4
5,79,0.0010463899546564353
5,80,4.3599581444018137e-4
5,81,2.615974886641088e-4
5,82,7.847924659923265e-4
5,83,4.3599581444018137e-4
5,84,6.975933031042902e-4
5,85,5.231949773282176e-4
5,86,7.847924659923265e-4
5,87,5.231949773282176e-4
5,88,2.615974886641088e-4
5,89,6.975933031042902e-4
5,90,8.719916288803627e-5
5,91,2.615974886641088e-4
5,92,0
5,93,8.719916288803627e-5
5,94,0
5,95,8.719916288803627e-5
5,96,8.719916288803627e-5
5,97,8.719916288803627e-5
5,98,0
5,99,0
5,100,0
5,101,0
5,102,0
6,18,0.038859507932858126
6,19,0.0524258450218441
6,20,0.06116348585881812
6,21,0.07266038169694182
6,22,0.05909404460795585
6,23,0.04782708668659462
6,24,0.044148080018395035
6,25,0.031041618762934008
6,26,0.025753046677397102
6,27,0.020234536675097725
6,28,0.017475281673948035
6,29,0.017935157507472984
6,30,0.014256150839273396
6,31,0.011037020004598759
6,32,0.021384226258910094
6,33,0.013796275005748447
6,34,0.014026212922510922
6,35,0.017015405840423086
6,36,0.01839503334099793
6,37,0.01563577833984824
6,38,0.02069441250862267
6,39,0.019774660841572776
6,40,0.017935157507472984
6,41,0.019774660841572776
6,42,0.019774660841572776
6,43,0.019774660841572776
6,44,0.015405840423085767
6,45,0.021844102092435043
6,46,0.02276385375948494
6,47,0.022993791676247412
6,48,0.01724534375718556
6,49,0.016555530006898137
6,50,0.01448608875603587
6,51,0.013796275005748447
6,52,0.011956771671648655
6,53,0.010807082087836284
6,54,0.010807082087836284
6,55,0.011496895838123706
6,56,0.008737640836974018
6,57,0.008737640836974018
6,58,0.006208323752586802
6,59,0.004828696252011957
6,60,0.0032191308346746377
6,61,0.0032191308346746377
6,62,0.0029891929179121637
6,63,0.0027592550011496897
6,64,0.002069441250862267
6,65,0.002069441250862267
6,66,0.0027592550011496897
6,67,0.0029891929179121637
6,68,0.0034490687514371118
