age,male?,p
99,true,2.1822244723381227e-5
100,true,0
101,true,1.3093346834028736e-5
102,true,0
103,true,0
104,true,0
105,true,0
0,false,0.004613222534522791
1,false,0.004613222534522791
2,false,0.004399364536233655
3,false,0.004805258288088546
4,false,0.004600129187688763
5,false,0.004683053717637611
6,false,0.004949285103262862
7,false,0.004713604860250345
8,false,0.004848902777535308
9,false,0.004630680330301496
10,false,0.004569578045076028
11,false,0.004573942494020705
12,false,0.004604493636633439
13,false,0.004796529390199193
14,false,0.004861996124369337
15,false,0.004595764738744086
16,false,0.004770342696531136
17,false,0.004944920654318186
18,false,0.0055122990171260974
19,false,0.0065946823554058065
20,false,0.006673242436409979
21,false,0.006978753862537316
22,false,0.007244985248162567
23,false,0.00776435467257904
24,false,0.008096052792374435
25,false,0.008484488748450621
26,false,0.008261901852272132
27,false,0.008436479810059181
28,false,0.008384106422723067
29,false,0.007930203732476738
30,false,0.007812363610970479
31,false,0.007912745936698032
32,false,0.007515581082732494
33,false,0.006935109373090553
34,false,0.006882735985754438
35,false,0.006777989211082209
36,false,0.0067081580279673885
37,false,0.00672998027269077
38,false,0.006350273214503936
39,false,0.006668877987465302
40,false,0.006070948482044657
41,false,0.006166966358827535
42,false,0.006118957420436096
43,false,0.005892006075312931
44,false,0.0061364152162148005
45,false,0.006376459908171994
46,false,0.006223704195108325
47,false,0.006537944519125015
48,false,0.006738709170580123
49,false,0.006524851172290987
50,false,0.006014210645763866
51,false,0.006380824357116671
52,false,0.006306628725057174
53,false,0.006411375499729404
54,false,0.006564131212793073
55,false,0.006324086520835879
56,false,0.006140779665159477
57,false,0.006123321869380772
58,false,0.005490476772402717
59,false,0.0054511967319006305
60,false,0.005477383425568688
61,false,0.0051194986121052355
62,false,0.005573401302351565
63,false,0.0050060229395436535
64,false,0.004761613798641783
65,false,0.004853267226479985
66,false,0.004709240411305668
67,false,0.00506712522476912
68,false,0.00501038738848833
69,false,0.004717969309195021
70,false,0.00501038738848833
71,false,0.004857631675424661
72,false,0.004120039803774376
73,false,0.0039018173565405633
74,false,0.0037141460519194845
75,false,0.0033780834831794136
76,false,0.0033911768300134426
77,false,0.0033693545852900614
78,false,0.003129309893332868
79,false,0.003334438993732651
80,false,0.0031249454443881917
81,false,0.0028936296503203505
82,false,0.0029983764249925803
83,false,0.0026754072030865383
84,false,0.0025401092858015747
85,false,0.002387353572737906
86,false,0.0021604022276147414
87,false,0.0018941708419894904
88,false,0.0017021350884237356
89,false,0.0012569612960667586
90,false,0.001156578970339205
91,false,0.0010387388488329464
92,false,8.336097484331628e-4
93,false,6.110228522546743e-4
94,false,5.804717096419406e-4
95,false,3.666137113528046e-4
96,false,3.098758750720134e-4
97,false,1.5712016200834482e-4
98,false,1.265690193956111e-4
99,false,1.0038232572755364e-4
100,false,3.9280040502086206e-5
101,false,2.1822244723381227e-5
102,false,8.728897889352491e-6
103,false,1.3093346834028736e-5
104,false,4.3644489446762455e-6
105,false,4.3644489446762455e-6
