child_number,age_of_mother,age_of_child,p
1,36,2,0.116040955631399
1,36,3,0.111490329920364
1,36,4,0.100113765642776
1,36,5,0.0728100113765643
1,36,6,0.0784982935153584
1,36,7,0.0853242320819113
1,36,8,0.0546075085324232
1,36,9,0.0273037542662116
1,36,10,0.025028441410694
1,36,11,0.017064846416382298
1,36,12,0.0136518771331058
1,36,13,0.0182025028441411
1,36,14,0.017064846416382298
1,36,15,0.0147895335608646
1,36,16,0.0147895335608646
1,36,17,0.0068259385665529
1,36,18,0.00568828213879408
1,36,19,0.00341296928327645
1,36,20,0.00227531285551763
1,37,0,0.0892655367231638
1,37,1,0.0926553672316384
1,37,2,0.117514124293785
1,37,3,0.103954802259887
1,37,4,0.100564971751412
1,37,5,0.0858757062146893
1,37,6,0.072316384180791
1,37,7,0.0745762711864407
1,37,8,0.0564971751412429
1,37,9,0.0350282485875706
1,37,10,0.0327683615819209
1,37,11,0.0305084745762712
1,37,12,0.0203389830508475
1,37,13,0.0305084745762712
1,37,14,0.0112994350282486
1,37,15,0.0146892655367232
1,37,16,0.015819209039548
1,37,17,0.00677966101694915
1,37,18,0.00338983050847458
1,37,19,0.00225988700564972
1,37,20,0.00112994350282486
1,37,21,0.00112994350282486
1,37,22,0.00112994350282486
1,38,0,0.0622270742358079
1,38,1,0.0807860262008734
1,38,2,0.0873362445414847
1,38,3,0.101528384279476
1,38,4,0.0971615720524018
1,38,5,0.102620087336245
1,38,6,0.0600436681222707
1,38,7,0.0556768558951965
1,38,8,0.0655021834061135
1,38,9,0.0480349344978166
1,38,10,0.0491266375545851
1,38,11,0.0327510917030568
1,38,12,0.0403930131004367
1,38,13,0.0305676855895196
1,38,14,0.0229257641921397
1,38,15,0.00982532751091703
1,38,16,0.00873362445414847
1,38,17,0.0174672489082969
1,38,18,0.00982532751091703
1,38,19,0.00873362445414847
1,38,20,0.00764192139737991
1,38,22,0.00109170305676856
1,39,0,0.0534351145038168
1,39,1,0.0665212649945474
1,39,2,0.0894220283533261
1,39,3,0.0817884405670665
1,39,4,0.0850599781897492
1,39,5,0.100327153762268
1,39,6,0.0817884405670665
1,39,7,0.0676117775354417
1,39,8,0.0534351145038168
1,39,9,0.0501635768811341
1,39,10,0.0523446019629226
1,39,11,0.0523446019629226
1,39,12,0.0250817884405671
1,39,13,0.0239912758996728
1,39,14,0.0163576881134133
1,39,15,0.0174482006543075
1,39,16,0.0239912758996728
1,39,17,0.0152671755725191
1,39,18,0.0141766630316249
1,39,19,0.0163576881134133
1,39,20,0.00327153762268266
1,39,21,0.00218102508178844
1,39,22,0.00327153762268266
1,39,23,0.00327153762268266
1,39,24,0.00109051254089422
1,40,0,0.0444203683640303
1,40,1,0.0617551462621885
1,40,2,0.0736728060671723
1,40,3,0.075839653304442
1,40,4,0.0715059588299025
1,40,5,0.0693391115926327
1,40,6,0.0704225352112676
1,40,7,0.0704225352112676
1,40,8,0.057421451787649
1,40,9,0.0693391115926327
1,40,10,0.0541711809317443
1,40,11,0.0585048754062839
1,40,12,0.0357529794149512
1,40,13,0.0400866738894908
1,40,14,0.0292524377031419
1,40,15,0.0205850487540628
1,40,16,0.0162513542795233
1,40,17,0.0303358613217768
1,40,18,0.00975081256771398
1,40,19,0.0119176598049837
1,40,20,0.0119176598049837
1,40,21,0.00650054171180932
1,40,22,0.00541711809317443
1,40,23,0.00108342361863489
1,40,24,0.00433369447453954
1,41,0,0.0328389830508475
1,41,1,0.0370762711864407
1,41,2,0.038135593220339
1,41,3,0.0646186440677966
1,41,4,0.0635593220338983
1,41,5,0.0741525423728814
1,41,6,0.0667372881355932
1,41,7,0.0773305084745763
1,41,8,0.0847457627118644
1,41,9,0.0752118644067797
1,41,10,0.0635593220338983
1,41,11,0.0423728813559322
1,41,12,0.0519067796610169
1,41,13,0.0402542372881356
1,41,14,0.0349576271186441
1,41,15,0.0360169491525424
1,41,16,0.0233050847457627
1,41,17,0.0254237288135593
1,41,18,0.0169491525423729
1,41,19,0.0148305084745763
1,41,20,0.0158898305084746
1,41,21,0.00423728813559322
1,41,22,0.00529661016949153
1,41,23,0.00529661016949153
1,41,24,0.00317796610169492
1,41,25,0.00211864406779661
1,42,0,0.0229540918163673
1,42,1,0.0329341317365269
1,42,2,0.0419161676646707
1,42,3,0.0449101796407186
1,42,4,0.0528942115768463
1,42,5,0.0568862275449102
1,42,6,0.0738522954091816
1,42,7,0.0748502994011976
1,42,8,0.0558882235528942
1,42,9,0.0738522954091816
