age_of_head,age_of_partner,p
38,27,0.0154083204930663
39,27,0.00924499229583975
40,27,0.0138674884437596
41,27,0.00308166409861325
42,27,0.00308166409861325
43,27,0.00308166409861325
44,27,0
45,27,0
46,27,0
47,27,0
48,27,0.00154083204930663
49,27,0
50,27,0
51,27,0
52,27,0.00154083204930663
53,27,0
54,27,0
55,27,0
56,27,0
57,27,0
58,27,0
59,27,0
60,27,0
61,27,0
62,27,0
63,27,0
64,27,0
65,27,0
66,27,0
67,27,0
68,27,0
69,27,0
70,27,0
71,27,0.00154083204930663
72,27,0
73,27,0
74,27,0
75,27,0
76,27,0
77,27,0
78,27,0
79,27,0
80,27,0
81,27,0
82,27,0
83,27,0
84,27,0
85,27,0
86,27,0
87,27,0
88,27,0
89,27,0
90,27,0
91,27,0
92,27,0
93,27,0
94,27,0
95,27,0
96,27,0
97,27,0
98,27,0
99,27,0
100,27,0
101,27,0
102,27,0
18,28,0
19,28,0
20,28,0
21,28,0
22,28,0.00235849056603774
23,28,0.00235849056603774
24,28,0.00471698113207547
25,28,0.017688679245283
26,28,0.0341981132075472
27,28,0.0389150943396226
28,28,0.0919811320754717
29,28,0.13561320754717
30,28,0.110849056603774
31,28,0.112028301886792
32,28,0.0955188679245283
33,28,0.0837264150943396
34,28,0.0636792452830189
35,28,0.044811320754717
36,28,0.0400943396226415
37,28,0.027122641509434
38,28,0.0235849056603774
39,28,0.0129716981132075
40,28,0.0117924528301887
41,28,0.0106132075471698
42,28,0.0106132075471698
43,28,0.00235849056603774
44,28,0.00235849056603774
45,28,0.0035377358490566
46,28,0.00235849056603774
47,28,0.00707547169811321
48,28,0.00117924528301887
49,28,0.00235849056603774
50,28,0
51,28,0.00117924528301887
52,28,0
53,28,0.00117924528301887
54,28,0.00117924528301887
55,28,0
56,28,0
57,28,0
58,28,0
59,28,0
60,28,0
61,28,0
62,28,0
63,28,0
64,28,0
65,28,0
66,28,0
67,28,0
68,28,0
69,28,0
70,28,0
71,28,0
72,28,0
73,28,0
74,28,0
75,28,0
76,28,0
77,28,0
78,28,0
79,28,0
80,28,0
81,28,0
82,28,0
83,28,0
84,28,0
85,28,0
86,28,0
87,28,0
88,28,0
89,28,0
90,28,0
91,28,0
92,28,0
93,28,0
94,28,0
95,28,0
96,28,0
97,28,0
98,28,0
99,28,0
100,28,0
101,28,0
102,28,0
18,29,0
19,29,0
20,29,0
21,29,0
22,29,0.00274725274725275
23,29,0.00274725274725275
24,29,0.00366300366300366
25,29,0.00732600732600733
26,29,0.0183150183150183
27,29,0.0393772893772894
28,29,0.0567765567765568
29,29,0.0961538461538462
30,29,0.113553113553114
31,29,0.128205128205128
32,29,0.111721611721612
33,29,0.0989010989010989
34,29,0.0732600732600733
35,29,0.0521978021978022
36,29,0.0485347985347985
37,29,0.0338827838827839
38,29,0.0247252747252747
39,29,0.0256410256410256
40,29,0.0183150183150183
41,29,0.00915750915750916
42,29,0.00824175824175824
43,29,0.00641025641025641
44,29,0.00366300366300366
45,29,0.00457875457875458
46,29,0.00366300366300366
47,29,9.15750915750916e-4
48,29,0.00183150183150183
49,29,0.00183150183150183
50,29,0
51,29,9.15750915750916e-4
52,29,9.15750915750916e-4
53,29,9.15750915750916e-4
54,29,0
55,29,0
56,29,0
57,29,0
58,29,0
59,29,0
60,29,0
61,29,0
62,29,0
63,29,0
64,29,0
65,29,0
66,29,0
67,29,0
68,29,0
69,29,0
70,29,0
71,29,0
72,29,0
73,29,0
74,29,0
75,29,0
76,29,0
77,29,0
78,29,0
79,29,0
80,29,0
81,29,0
82,29,0
83,29,0
84,29,9.15750915750916e-4
85,29,0
86,29,0
87,29,0
88,29,0
89,29,0
90,29,0
91,29,0
92,29,0
93,29,0
94,29,0
95,29,0
96,29,0
97,29,0
98,29,0
99,29,0
100,29,0
101,29,0
102,29,0
18,30,0
19,30,0
20,30,0
21,30,0
22,30,8.52514919011083e-4
23,30,0.00255754475703325
24,30,0.00170502983802217
25,30,0.00767263427109974
26,30,0.00852514919011083
27,30,0.0247229326513214
28,30,0.0315430520034101
29,30,0.0596760443307758
30,30,0.0843989769820972
31,30,0.114236999147485
