age,type,p
43,single,0.261664564943253
43,single_parent,0.168137873055906
44,couple,0.583069453240448
44,single,0.250158328055731
44,single_parent,0.166772218703821
45,couple,0.5754341912534
45,single,0.260724000836995
45,single_parent,0.163841807909605
46,couple,0.575108997225525
46,single,0.238208481965914
46,single_parent,0.186682520808561
47,couple,0.577719155844156
47,single,0.250608766233766
47,single_parent,0.171672077922078
48,couple,0.56195462478185
48,single,0.249951522202831
48,single_parent,0.188093853015319
49,couple,0.577624256380733
49,single,0.241412396852811
49,single_parent,0.180963346766456
50,couple,0.553462709284627
50,single,0.258561643835616
50,single_parent,0.187975646879756
51,couple,0.565522472975536
51,single,0.250900815475062
51,single_parent,0.183576711549403
52,couple,0.566904631155043
52,single,0.252059308072488
52,single_parent,0.181036060772469
53,couple,0.57041889329426
53,single,0.260127564213067
53,single_parent,0.169453542492674
54,couple,0.579260595130748
54,single,0.24941388638413
54,single_parent,0.171325518485122
55,couple,0.568004358089704
55,single,0.252042854548756
55,single_parent,0.17995278736154
56,couple,0.579803957832439
56,single,0.261882744590346
56,single_parent,0.158313297577215
57,couple,0.587523629489603
57,single,0.251984877126654
57,single_parent,0.160491493383743
58,couple,0.578649566201433
58,single,0.261410788381743
58,single_parent,0.159939645416824
59,couple,0.569375239555385
59,single,0.274051360674588
59,single_parent,0.156573399770027
60,couple,0.574752097635393
60,single,0.275934401220442
60,single_parent,0.149313501144165
61,couple,0.579710144927536
61,single,0.27183705444575
61,single_parent,0.148452800626714
62,couple,0.575453112687155
62,single,0.27698975571316
62,single_parent,0.147557131599685
63,couple,0.58637517079836
63,single,0.275229357798165
63,single_parent,0.138395471403475
64,couple,0.590845492704377
64,single,0.274835098940636
64,single_parent,0.134319408354987
65,couple,0.579578338156263
65,single,0.286275320380322
65,single_parent,0.134146341463415
66,couple,0.566235366605052
66,single,0.30273156705689
66,single_parent,0.131033066338057
67,couple,0.579774375503626
67,single,0.297340854149879
67,single_parent,0.122884770346495
68,couple,0.558613861386139
68,single,0.303960396039604
68,single_parent,0.137425742574257
69,couple,0.550019538882376
69,single,0.316920672137554
69,single_parent,0.13305978898007
70,couple,0.526037588097103
70,single,0.340054815974941
70,single_parent,0.133907595927956
71,couple,0.529941918686161
71,single,0.331664330062087
71,single_parent,0.138393751251752
72,couple,0.518927444794953
72,single,0.342721946822893
72,single_parent,0.138350608382154
73,couple,0.516021361815754
73,single,0.348464619492657
73,single_parent,0.135514018691589
74,couple,0.484113712374582
74,single,0.365105908584169
74,single_parent,0.150780379041249
75,couple,0.469745222929936
75,single,0.389861995753715
75,single_parent,0.140392781316348
76,couple,0.45564738292011
76,single,0.397520661157025
76,single_parent,0.146831955922865
77,couple,0.43111337061515
77,single,0.412811387900356
77,single_parent,0.156075241484494
78,couple,0.409898824172819
78,single,0.422477440525021
78,single_parent,0.16762373530216
79,couple,0.393808882907133
79,single,0.440915208613728
79,single_parent,0.165275908479139
80,couple,0.370958259847149
80,single,0.45326278659612
80,single_parent,0.175778953556731
81,couple,0.356206896551724
81,single,0.470344827586207
81,single_parent,0.173448275862069
82,couple,0.342
82,single,0.488333333333333
82,single_parent,0.169666666666667
83,couple,0.313286713286713
83,single,0.486013986013986
83,single_parent,0.200699300699301
84,couple,0.273747195213164
84,single,0.534405385190726
84,single_parent,0.191847419596111
85,couple,0.289632916498588
85,single,0.511899959661154
85,single_parent,0.198467123840258
86,couple,0.249767008387698
86,single,0.560111835973905
86,single_parent,0.190121155638397
87,couple,0.244987775061125
87,single,0.561858190709046
87,single_parent,0.193154034229829
88,couple,0.220463538722442
88,single,0.574335782928208
88,single_parent,0.20520067834935
89,couple,0.204906204906205
89,single,0.592352092352092
89,single_parent,0.202741702741703
90,couple,0.181818181818182
90,single,0.615180935569285
90,single_parent,0.203000882612533
91,couple,0.156843156843157
91,single,0.632367632367632
91,single_parent,0.210789210789211
92,couple,0.147174770039422
92,single,0.647831800262812
92,single_parent,0.204993429697766
93,couple,0.143769968051118
93,single,0.629392971246006
93,single_parent,0.226837060702875
94,couple,0.0956340956340956
94,single,0.663201663201663
94,single_parent,0.241164241164241
95,couple,0.0662824207492795
95,single,0.706051873198847
95,single_parent,0.227665706051873
96,couple,0.0977443609022556
96,single,0.721804511278195
96,single_parent,0.180451127819549
97,couple,0.0892857142857143
97,single,0.726190476190476
97,single_parent,0.18452380952381
98,couple,0.0909090909090909
98,single,0.663636363636364
98,single_parent,0.245454545454545
99,couple,0.15
99,single,0.65
99,single_parent,0.2
100,couple,0.0625
