male?,age,p
TRUE,116,0.00690387998618417
TRUE,117,0.00690387998618417
TRUE,118,0.00690387998618417
TRUE,119,0.00690387998618417
TRUE,120,0.00690387998618417
TRUE,121,0.00690387998618417
TRUE,122,0.00690387998618417
TRUE,123,0.00690387998618417
TRUE,124,0.00690387998618417
TRUE,125,0.00690387998618417
TRUE,126,0.00690387998618417
TRUE,127,0.00690387998618417
TRUE,128,0.00690387998618417
TRUE,129,0.00690387998618417
TRUE,130,0.00690387998618417
TRUE,131,0.00690387998618417
TRUE,132,0.00690387998618417
TRUE,133,0.00690387998618417
TRUE,134,0.00690387998618417
TRUE,135,0.00690387998618417
TRUE,136,0.00690387998618417
TRUE,137,0.00690387998618417
TRUE,138,0.00690387998618417
TRUE,139,0.00690387998618417
TRUE,140,0.00690387998618417
TRUE,141,0.00690387998618417
TRUE,142,0.00690387998618417
TRUE,143,0.00690387998618417
TRUE,144,0.00690387998618417
TRUE,145,0.00690387998618417
TRUE,146,0.00690387998618417
TRUE,147,0.00690387998618417
TRUE,148,0.00690387998618417
TRUE,149,0.00690387998618417
TRUE,150,0.00690387998618417
TRUE,151,0.00690387998618417
TRUE,152,0.00690387998618417
TRUE,153,0.00690387998618417
TRUE,154,0.00690387998618417
TRUE,155,0.00690387998618417
TRUE,156,0.00690387998618417
TRUE,157,0.00690387998618417
TRUE,158,0.00690387998618417
TRUE,159,0.00690387998618417
TRUE,160,0.00690387998618417
TRUE,161,0.00690387998618417
TRUE,162,0.00690387998618417
TRUE,163,0.00690387998618417
TRUE,164,0.00690387998618417
TRUE,165,0.00690387998618417
TRUE,166,0.00690387998618417
TRUE,167,0.00690387998618417
TRUE,168,0.00690387998618417
TRUE,169,0.00690387998618417
TRUE,170,0.00690387998618417
TRUE,171,0.00690387998618417
TRUE,172,0.00690387998618417
TRUE,173,0.00690387998618417
TRUE,174,0.00690387998618417
TRUE,175,0.00690387998618417
TRUE,176,0.00690387998618417
TRUE,177,0.00690387998618417
TRUE,178,0.00690387998618417
TRUE,179,0.00690387998618417
TRUE,180,0.00690387998618417
TRUE,181,0.00690387998618417
TRUE,182,0.00690387998618417
TRUE,183,0.00690387998618417
